flow id:,first send:,last send:,last arrive:,send num:,receive num:,send size:,receive size:,FCT:,origin_pg:
11:0:21 11:0:41 10075 100 17,2.010168733,199.861281333,199.861255335,66154,66151,918357,916897,197.851086602,3
11:0:21 11:0:41 10012 100 17,2.000525988,11.914735597,12.301156815,209,226,8300,8300,10.300630827,1
11:0:21 11:0:41 10029 100 17,2.001442173,15.502561878,15.864688163,341,356,8229,8229,13.86324599,1
11:0:21 11:0:41 10033 100 17,2.001604569,9.427827287,9.828358017,125,133,8471,8471,7.826753448,1
11:0:21 11:0:41 10026 100 17,2.001297176,17.180178134,17.531806531,411,426,8318,8318,15.530509355,1
11:0:21 11:0:41 10040 100 17,2.001931962,14.570038071,14.938125063,310,329,8276,8276,12.936193101,1
11:0:21 11:0:41 10032 100 17,2.00154617,13.801886189,14.176097671,283,304,8353,8353,12.174551501,1
11:0:21 11:0:41 10095 100 17,2.016173715,199.887400058,199.88737406,66171,66168,945000,943500,197.871200345,3
11:0:21 11:0:41 10037 100 17,2.001762565,29.341743153,29.687472414,1252,1281,8270,8270,27.685709849,1
11:0:21 11:0:41 10043 100 17,2.002113159,15.404043454,15.766289528,326,339,8298,8298,13.764176369,1
11:0:21 11:0:41 10001 100 17,2.000028199,17.7902759,18.148027512,463,487,8312,8312,16.147999313,1
11:0:21 11:0:41 10045 100 17,2.002284558,64.573304868,64.891370896,6432,6498,65983,65983,62.889086338,2
11:0:21 11:0:41 10013 100 17,2.000594587,15.579751541,15.940625841,333,346,8350,8350,13.940031254,1
11:0:21 11:0:41 10042 100 17,2.00205596,13.361815351,13.733428331,261,276,8331,8331,11.731372371,1
11:0:21 11:0:41 10046 100 17,2.002505558,31.614864366,31.955146251,1452,1481,65999,65999,29.952640693,2
11:0:21 11:0:41 10059 100 17,2.005465946,199.856011549,199.855985551,65983,65980,936120,934620,197.850519605,3
11:0:21 11:0:41 10048 100 17,2.002970756,29.648566956,29.994955602,1273,1300,66323,66323,27.991984846,2
11:0:21 11:0:41 10061 100 17,2.006088344,199.906122402,199.906096404,66185,66182,688590,687497,197.90000806,3
11:0:21 11:0:41 10009 100 17,2.000356391,13.723535776,14.098477835,278,296,8233,8233,12.098121444,1
11:0:21 11:0:41 10050 100 17,2.003471954,38.081730823,38.411729761,2141,2177,65883,65883,36.408257807,2
11:0:21 11:0:41 10052 100 17,2.003977152,36.954308841,37.285225578,2003,2038,62399,62399,35.281248426,2
11:0:21 11:0:41 10057 100 17,2.004851548,199.902519012,199.902493014,66182,66179,944303,942803,197.897641466,3
11:0:31 11:0:41 10099 100 17,2.015560908,199.84990417,199.849878172,65900,65895,911106,909646,197.834317264,3
11:0:31 11:0:41 10095 100 17,2.014397511,199.866751917,199.866725919,66158,66155,945000,943500,197.852328408,3
11:0:31 11:0:41 10092 100 17,2.014043114,140.81699077,141.118449869,28981,29113,605139,605139,139.104406755,3
11:0:31 11:0:41 10090 100 17,2.013718316,199.864353323,199.864327325,66156,66153,919800,918340,197.850609009,3
11:0:31 11:0:41 10088 100 17,2.013113517,39.287579158,39.615748308,2275,2312,151008,151008,37.602634791,3
11:0:31 11:0:41 10087 100 17,2.012802318,199.862510129,199.862484131,66154,66151,945000,943500,197.849681813,3
11:0:31 11:0:41 10085 100 17,2.012197519,199.860978134,199.860952136,66154,66151,914760,913308,197.848754617,3
11:0:31 11:0:41 10084 100 17,2.01188632,199.860062136,199.860036138,66154,66151,945000,943500,197.848149818,3
11:0:31 11:0:41 10080 100 17,2.010727323,199.857374744,199.857348746,66154,66151,941003,939503,197.846621423,3
11:0:31 11:0:41 10079 100 17,2.010424124,199.857063545,199.857037547,66154,66151,918357,916897,197.846613423,3
11:0:31 11:0:41 10078 100 17,2.010120925,199.855090352,199.855064354,66152,66149,919800,918340,197.844943429,3
11:0:31 11:0:41 10076 100 17,2.009796127,199.918791365,199.918765367,66190,66187,911280,909820,197.90896924,3
11:0:31 11:0:41 10075 100 17,2.009572128,199.846163581,199.846137583,64733,64728,652080,651016,197.836565455,3
11:0:31 11:0:41 10093 100 17,2.014064713,199.865507121,199.865481123,66156,66153,942080,940580,197.85141641,3
11:0:31 11:0:41 10074 100 17,2.009260929,199.853598757,199.853572759,66151,66148,940973,939473,197.84431183,3
11:0:31 11:0:41 10073 100 17,2.00894973,199.852976359,199.852950361,66150,66147,941386,939886,197.844000631,3
11:0:31 11:0:41 10072 100 17,2.008638531,42.158066573,42.489271541,2641,2681,168202,168202,40.48063301,3
11:0:31 11:0:41 10070 100 17,2.008024133,199.851140966,199.851114968,66147,66144,943540,942040,197.843090835,3
11:0:31 11:0:41 10081 100 17,2.011038522,199.858530141,199.858504143,66154,66151,688590,687497,197.847465621,3
11:0:31 11:0:41 10069 100 17,2.007720934,199.850518568,199.85049257,66147,66144,919800,918340,197.842771636,3
11:0:31 11:0:41 10068 100 17,2.007417735,199.918176967,199.918150969,62166,62152,862897,861437,197.910733234,3
11:0:31 11:0:41 10066 100 17,2.006980137,199.911965185,199.911939187,66190,66186,362920,362344,197.90495905,3
11:0:31 11:0:41 10071 100 17,2.008335332,199.851673965,199.851647967,66147,66144,919800,918340,197.843312635,3
11:0:31 11:0:41 10065 100 17,2.006958538,172.710014333,173.003512062,43469,43628,711612,711612,170.996553524,3
11:0:31 11:0:41 10064 100 17,2.006656938,199.897374028,199.89734803,66176,66173,914760,913308,197.890691092,3
11:0:31 11:0:41 10063 100 17,2.006345739,199.895217634,199.895191636,66175,66172,945000,943500,197.888845897,3
11:0:31 11:0:41 10062 100 17,2.00603454,199.892908439,199.892882441,66173,66170,945000,943500,197.886847901,3
11:0:31 11:0:41 10061 100 17,2.005723341,199.891352444,199.891326446,66173,66170,945000,943500,197.885603105,3
11:0:31 11:0:41 10060 100 17,2.005412142,199.889885848,199.88985985,66173,66170,942080,940580,197.884447708,3
11:0:31 11:0:41 10059 100 17,2.005108943,199.887088859,199.887062861,66171,66168,919800,918340,197.881953918,3
11:0:31 11:0:41 10021 100 17,2.00103638,13.273462438,13.643870985,254,267,8272,8272,11.642834605,1
11:0:31 11:0:41 10024 100 17,2.001138377,13.725883159,14.100782423,278,296,8304,8304,12.099644046,1
11:0:31 11:0:41 10083 100 17,2.011579521,199.84647038,199.846444382,65106,65097,800348,800296,197.834864861,3
11:0:31 11:0:41 10020 100 17,2.001008181,49.14322571,49.471150481,3690,3749,8250,8250,47.4701423,1
11:0:31 11:0:41 10027 100 17,2.001320374,16.916905063,17.264573633,393,408,8439,8439,15.263253259,1
11:0:31 11:0:41 10055 100 17,2.003880147,199.720511352,199.720485354,62133,62119,754227,752767,197.716605207,3
11:0:31 11:0:41 10018 100 17,2.000876183,16.689994962,17.040645521,387,402,8356,8356,15.039769338,1
11:0:31 11:0:41 10025 100 17,2.001202776,14.211780683,14.582114017,297,317,8213,8213,12.580911241,1
11:0:31 11:0:41 10040 100 17,2.002208961,13.679160204,14.054254655,282,299,8260,8260,12.052045694,1
11:0:31 11:0:41 10013 100 17,2.000633988,24.396408441,24.747847418,871,900,8202,8202,22.74721343,1
11:0:31 11:0:41 10082 100 17,2.011268322,199.974961997,199.974935999,47862,47827,777376,775876,197.963667677,3
11:0:31 11:0:41 10002 100 17,2.000083798,15.026609864,15.390190506,307,320,8216,8216,13.390106708,1
